timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_size
2026-04-19 19:42:00,192.168.1.114,1.1.1.1,DNS,55780,53,105
2026-04-19 19:52:02,192.168.1.25,192.168.1.15,TCP,60210,22,107
2026-04-19 19:32:22,192.168.1.123,192.168.1.1,HTTP,62487,80,586
2026-04-19 19:38:42,192.168.1.206,192.168.1.57,TCP,42691,22,118
2026-04-19 19:22:29,192.168.1.101,1.1.1.1,DNS,61218,53,106
2026-04-19 19:38:45,192.168.1.206,192.168.1.82,TCP,42038,22,98
2026-04-19 19:25:48,192.168.1.3,1.1.1.1,DNS,61103,53,112
2026-04-19 19:35:21,192.168.1.209,192.168.1.1,HTTP,50954,80,354
2026-04-19 19:29:37,192.168.1.141,1.1.1.1,DNS,53647,53,112
2026-04-19 19:22:01,192.168.1.196,8.8.8.8,DNS,52101,53,78
2026-04-19 19:28:26,192.168.1.38,8.8.4.4,DNS,64430,53,118
2026-04-19 19:38:49,192.168.1.206,192.168.1.228,TCP,42346,22,115
2026-04-19 19:23:25,192.168.1.14,1.1.1.1,DNS,59231,53,93
2026-04-19 19:31:49,192.168.1.187,192.168.1.1,HTTP,50246,80,351
2026-04-19 19:42:08,192.168.1.114,8.8.8.8,DNS,62503,53,79
2026-04-19 19:26:46,192.168.1.91,8.8.4.4,DNS,63321,53,117
2026-04-19 19:42:06,192.168.1.114,1.1.1.1,DNS,55303,53,96
2026-04-19 19:28:27,192.168.1.134,8.8.8.8,DNS,52872,53,91
2026-04-19 19:31:23,192.168.1.48,192.168.1.1,HTTP,60837,80,440
2026-04-19 19:27:39,192.168.1.19,8.8.8.8,DNS,57354,53,68
2026-04-19 19:22:32,192.168.1.60,8.8.4.4,DNS,57531,53,74
2026-04-19 19:33:43,192.168.1.57,192.168.1.1,HTTP,55570,80,255
2026-04-19 19:37:54,192.168.1.233,192.168.1.1,HTTP,50121,80,424
2026-04-19 19:52:01,192.168.1.25,192.168.1.15,TCP,62503,22,83
2026-04-19 19:26:36,192.168.1.137,8.8.4.4,DNS,53935,53,77
2026-04-19 19:38:40,192.168.1.206,192.168.1.125,TCP,40565,22,136
2026-04-19 19:32:38,192.168.1.96,192.168.1.1,HTTP,54479,80,479
2026-04-19 19:35:57,192.168.1.216,192.168.1.1,HTTP,58959,80,243
2026-04-19 19:47:03,192.168.1.57,108.218.177.85,TCP,54284,5555,721
2026-04-19 19:22:23,192.168.1.146,8.8.8.8,DNS,52148,53,111
2026-04-19 19:47:01,192.168.1.105,160.246.156.179,TCP,58878,4444,813
2026-04-19 19:31:20,192.168.1.210,192.168.1.1,HTTP,60666,80,376
2026-04-19 19:47:00,192.168.1.61,187.156.223.18,TCP,60794,6666,821
2026-04-19 19:47:04,192.168.1.38,158.22.170.147,TCP,59528,5555,709
2026-04-19 19:27:24,192.168.1.222,1.1.1.1,DNS,62817,53,74
2026-04-19 19:32:45,192.168.1.135,192.168.1.1,HTTP,51134,80,299
2026-04-19 19:34:12,192.168.1.164,192.168.1.1,HTTP,58445,80,534
2026-04-19 19:28:56,192.168.1.6,8.8.4.4,DNS,59256,53,102
2026-04-19 19:27:46,192.168.1.209,1.1.1.1,DNS,50444,53,84
2026-04-19 19:37:06,192.168.1.26,192.168.1.1,HTTP,55339,80,389
2026-04-19 19:31:33,192.168.1.63,192.168.1.1,HTTP,56327,80,220
2026-04-19 19:52:04,192.168.1.25,192.168.1.15,TCP,62720,22,85
2026-04-19 19:30:45,192.168.1.206,192.168.1.1,HTTP,64272,80,410
2026-04-19 19:24:27,192.168.1.5,1.1.1.1,DNS,50734,53,68
2026-04-19 19:29:05,192.168.1.216,8.8.4.4,DNS,64873,53,113
2026-04-19 19:36:27,192.168.1.147,192.168.1.1,HTTP,60859,80,288
2026-04-19 19:29:42,192.168.1.219,8.8.8.8,DNS,58502,53,69
2026-04-19 19:26:28,192.168.1.231,1.1.1.1,DNS,61675,53,75
